type,route_id,route_name,record_index,time,x,y,z,pitch,yaw,roll
record,1784830782255,test,36,2026-07-23T18:27:03.236328800+00:00,167097.594,-60720.617,32068.158,344.019806,315.249634,0
record,1784830782255,test,37,2026-07-23T18:27:13.585420300+00:00,196037.094,-61549.805,30024.318,347.742615,2.938411,0
record,1784830782255,test,38,2026-07-23T18:27:23.934524300+00:00,221151.094,-63003.117,28462.066,341.714874,0.811157,0
record,1784830782255,test,39,2026-07-23T18:27:34.283116300+00:00,232920.562,-47532.859,26163.211,340.473938,39.10405,0
record,1784830782255,test,40,2026-07-23T18:27:44.632385500+00:00,238901.656,-36895.223,25104.109,343.487793,13.043596,0
record,1784830782255,test,41,2026-07-23T18:27:54.980248+00:00,238037.328,-38078.906,25100.875,326.148071,242.508102,0
record,1784830782255,test,42,2026-07-23T18:28:05.329587600+00:00,238564.812,-37286.59,25056.824,348.308411,48.551651,0
record,1784830782255,test,43,2026-07-23T18:28:15.680259800+00:00,239366.375,-37133.02,24995.434,345.30069,357.266541,0
record,1784830782255,test,44,2026-07-23T18:28:26.029393600+00:00,239341.469,-37019.391,24997.391,338.494171,331.940308,0
record,1784830782255,test,45,2026-07-23T18:28:36.379396700+00:00,239341.469,-37019.391,24997.391,338.494171,331.940308,0
record,1784830782255,test,46,2026-07-23T18:28:46.728591500+00:00,239277.328,-37124.742,25002.844,337.860809,339.696472,0
record,1784830782255,test,47,2026-07-23T18:28:57.078303800+00:00,239465,-37167.266,24987.402,334.536163,100.207703,0
record,1784830782255,test,48,2026-07-23T18:29:07.427917200+00:00,241380.531,-39489.922,24859.811,343.558624,260.290527,0
record,1784830782255,test,49,2026-07-23T18:29:17.778160100+00:00,241582.859,-40098.973,24859.811,317.28241,301.128448,0
record,1784830782255,test,50,2026-07-23T18:29:28.126505400+00:00,241508.5,-38889.816,24859.811,305.726959,359.85321,0
record,1784830782255,test,51,2026-07-23T18:29:38.475432500+00:00,243491.156,-36049.297,24696.766,340.866547,86.27813,0
record,1784830782255,test,52,2026-07-23T18:29:48.824903800+00:00,243719.688,-35074.867,24709.684,340.866364,255.645905,0
record,1784830782255,test,53,2026-07-23T18:29:59.174142400+00:00,240698.125,-37100.965,24872.758,339.59967,309.463562,0
record,1784830782255,test,54,2026-07-23T18:30:09.523273900+00:00,238732.062,-37002.234,25041.209,333.584747,10.354429,0
record,1784830782255,test,55,2026-07-23T18:30:19.872888900+00:00,238754.859,-37017.859,25039.996,332.951569,354.842255,0
record,1784830782255,test,56,2026-07-23T18:30:30.222326700+00:00,238903.719,-36960.945,25030.486,327.72821,57.207729,0
record,1784830782255,test,57,2026-07-23T18:30:40.570536800+00:00,238094.625,-37850.988,25199.457,346.174805,229.222488,0
record,1784830782255,test,58,2026-07-23T18:30:50.919009800+00:00,226701.031,-53882.895,27168.104,353.798065,237.199951,0
record,1784830782255,test,59,2026-07-23T18:31:01.267613400+00:00,209658.578,-59219.461,28629.797,356.102661,180.824524,0
record,1784830782255,test,60,2026-07-23T18:31:11.616235+00:00,185664.766,-62036.312,30620.967,351.670746,179.583725,0
record,1784830782255,test,61,2026-07-23T18:31:21.966984800+00:00,160840.984,-51069.133,32991.277,351.670746,137.922394,0
record,1784830782255,test,62,2026-07-23T18:31:32.318059900+00:00,150503.125,-48595.258,34153.211,343.693298,180.292694,0
record,1784830782255,test,63,2026-07-23T18:31:42.666623700+00:00,149615.156,-48538.43,34175.922,339.804199,195.114868,0
record,1784830782255,test,64,2026-07-23T18:31:53.015981100+00:00,150171.266,-48592.48,34197.25,327.140564,275.524261,0
record,1784830782255,test,65,2026-07-23T18:32:03.365804600+00:00,147388.062,-47848.887,34445.184,349.376373,34.421993,0
record,1784830782255,test,66,2026-07-23T18:32:13.714654500+00:00,146921.203,-47113.965,34540.484,321.974976,199.438354,0
record,1784830782255,test,67,2026-07-23T18:32:24.063567400+00:00,147263.203,-47787.695,34453.43,317.067505,298.051422,0
record,1784830782255,test,68,2026-07-23T18:32:34.413185200+00:00,146906.766,-47101.145,34540.484,315.009125,203.87265,0
record,1784830782255,test,69,2026-07-23T18:32:44.763220900+00:00,146906.766,-47101.145,34540.484,314.85083,213.211609,0
record,1784830782255,test,70,2026-07-23T18:32:55.111733900+00:00,147263.031,-47784.797,34453.711,314.53421,277.317688,0
record,1784830782255,test,71,2026-07-23T18:33:05.459859400+00:00,147378.125,-47776.582,34444.281,323.714935,173.639694,0
record,1784830782255,test,72,2026-07-23T18:33:15.809208800+00:00,146971.125,-50304.605,34427.699,338.435577,249.459274,0
record,1784830782255,test,73,2026-07-23T18:33:26.158963600+00:00,147029.812,-50631.867,34412.434,336.536011,198.965469,0
record,1784830782255,test,74,2026-07-23T18:33:36.507702400+00:00,144794.109,-45849.75,34958.102,341.758759,176.330551,0
record,1784830782255,test,75,2026-07-23T18:33:46.857487400+00:00,144794.203,-45849.805,34958.102,341.600464,177.121994,0
record,1784830782255,test,76,2026-07-23T18:33:57.207670400+00:00,144794.203,-45849.805,34958.102,341.600464,177.121994,0
record,1784830782255,test,77,2026-07-23T18:34:07.556081+00:00,144794.203,-45849.805,34958.102,341.600464,177.121994,0
record,1784830782255,test,78,2026-07-23T18:34:17.905571200+00:00,144794.203,-45849.805,34958.102,341.600464,177.121994,0
record,1784830782255,test,79,2026-07-23T18:34:28.255137+00:00,145154.672,-46074.211,34958.102,334.635681,309.608612,0
record,1784830782255,test,80,2026-07-23T18:34:38.604457+00:00,147370.156,-47811.199,34445.617,330.994415,256.740906,0
record,1784830782255,test,81,2026-07-23T18:34:48.954524600+00:00,147837.219,-48226.602,34512.371,341.093323,357.966095,0
record,1784830782255,test,82,2026-07-23T18:34:59.303148900+00:00,149751.75,-48762.301,34148.285,322.634583,16.83918,0
record,1784830782255,test,83,2026-07-23T18:35:09.653014400+00:00,151970.359,-48715.059,33976.469,349.644379,328.972961,0
record,1784830782255,test,84,2026-07-23T18:35:20.003441800+00:00,175783.266,-66182.75,30674.566,346.985199,323.654572,0
record,1784830782255,test,85,2026-07-23T18:35:30.353100500+00:00,195269.719,-90034.391,27871.289,340.425964,295.112274,0
record,1784830782255,test,86,2026-07-23T18:35:40.702043400+00:00,206635.766,-118667.484,24993.746,342.907959,311.776154,0
